original,translate
part,dalis
history,istorija
search,Paieška
only,tik
police,policija
thought,mintis
help,padėti
request,prašymas
kind,malonus
month,mėnuo
brother,brolis
let,leisti
because,nes
to put,padėti
no,ne
leash,pavadėlis
them,juos
city,miestas
each,kiekvienas
speak,kalbėti
come,ateiti
should,turėtų
baby,mažute
long time,ilgas laikas
hours,valandos
will,Valia
while,kol
meet again,vėl susitikti
any,bet koks
square,kvadratas
speak,kalbėti
understood,Supratau
knew,žinojau
were,buvo
Warning,Įspėjimas
here is,čia yra
could,galėjo
case,atvejis
give,duoti
type,tipas
their,jų
given,duota
train,traukinys
body,kūnas
place,vieta
eyes,akys
way,būdas
listen,Klausyk
whose,Kieno
find,rasti
first,Pirmas
lost,Pamesta
hand,ranka
first,Pirmas
side,šalis
power,galia
old,senas
be,būti
here,čia
morning,ryto
so much,Tiek daug
child,vaikas
point,taškas
came,atėjo
after,po
sorry,Atsiprašau
come,ateiti
in front of,Priešais
towards,link
minutes,minutės
request,prašymas
bedroom,miegamasis
placed,įdėta
beautiful,graži
law,įstatymas
would like to,norėtų
today,šiandien
husband,vyras
cause,priežastis
finally,pagaliau
hope,Viltis
water,vanduo
Wait,Laukti
left,kairėje
new,nauja
job,darbas
Stop,Sustabdyti
would say,sakyčiau
Earth,Žemė
account,sąskaita
given,duota
far,toli
end,galas
believe,patikėk
sweetheart,Mieloji
large,didelis
rather,veikiau
will have,turėsiu
girls,merginos
to play,žaisti
office,biuras
